,0
139,159699088.6
140,159472907.4
141,159243696.6
142,159011428.1
143,158776075.4
144,158537617.8
145,158296040.5
146,158051334
147,157803493.9
148,157552515.5
149,157298378.4
150,157041063.3
151,156780557.6
152,156516854.4
153,156249952.6
154,155979856.4
155,155706570.7
156,155430084.3
157,155150386
158,154867471.3
159,154581341.7
160,154292004.6
161,153999472.8
162,153703761.5
163,153404871.2
164,153102798.9
165,152797548.1
166,152489128.6
167,152177555.9
168,151862850.9
169,151545038.4
170,151224130.4
171,150900132.3
172,150573055.5
173,150242917.6
174,149909741.7
175,149573556.3
176,149234394.4
177,148892279.4
178,148547224.8
179,148199249.6
180,147848378.3
181,147494641.4
182,147138073.9
183,146778715.8
184,146416601
185,146051750.8
186,145684191.1
187,145313952.8
188,144941072.6
189,144565591.3
190,144187554.6
191,143807005.1
192,143423972
193,143038486.9
194,142650586.4
195,142260312.1
196,141867709.8
197,141472829.5
198,141075720.7
199,140676419
200,140274961.2
201,139871388.4
202,139465746.3
203,139058084.4
204,138648456.1
205,138236913.8
206,137823498
207,137408249.2
208,136991212.4
209,136572436.5
210,136151973.9
211,135729880
212,135306209.9
213,134881007.1
214,134454315.8
215,134026183.5
216,133596661.3
217,133165803.3
218,132733666.4
219,132300306.7
220,131865770.3
221,131430103.5
222,130993355.7
223,130555579.1
224,130116828.5
225,129677160.8
226,129236632.6
227,128795291.2
228,128353184.3
229,127910361.9
230,127466876.2
231,127022781.9
232,126578135
233,126132991.3
234,125687398.5
235,125241404.6
236,124795059.2
237,124348413.8
238,123901521.7
239,123454437.4
240,123007214.7
241,122559901
242,122112543.5
243,121665190.7
244,121217892.7
245,120770700.3
246,120323665.6
247,119876840.5
248,119430271.7
249,118984004.9
250,118538086.7
251,118092564.4
252,117647486.3
253,117202901.1
254,116758857.7
255,116315401.2
256,115872575.4
257,115430424
258,114988991.5
259,114548322.8
260,114108462.8
261,113669456.7
262,113231347.3
263,112794175.6
264,112357982.5
265,111922809.2
266,111488696.6
267,111055686
268,110623818.2
269,110193133
270,109763668.4
271,109335462.2
272,108908551.9
273,108482974.9
274,108058768.2
275,107635968.4
276,107214611.5
277,106794732.7
278,106376366.5
279,105959546.7
280,105544307.1
281,105130680.6
282,104718699.8
283,104308396.7
284,103899803.3
285,103492951
286,103087870.3
287,102684591.4
288,102283143.5
289,101883555.2
290,101485854.9
291,101090071.6
292,100696233.7
293,100304368.8
294,99914503.67
295,99526664.39
296,99140876.15
297,98757163.94
298,98375554.19
299,97996072.86
300,97618744.91
301,97243594.44
302,96870644.68
303,96499918
304,96131436.64
305,95765224.94
306,95401306.88
307,95039705.39
308,94680442.44
309,94323539.1
310,93969015.55
311,93616891.95
312,93267191.17
313,92919935.87
314,92575147.57
315,92232846.85
316,91893053.33
317,91555785.76
318,91221062.98
319,90888907.12
320,90559340.23
321,90232383.22
322,89908056.03
323,89586377.69
324,89267366.27
325,88951040.18
326,88637421.58
327,88326532.72
328,88018394.75
329,87713027.84
330,87410451.21
331,87110683.18
332,86813742.36
333,86519651.66
334,86228434.4
335,85940112.83
336,85654708.21
337,85372240.86
338,85092730.18
339,84816195.49
340,84542660.66
341,84272151
342,84004690.75
343,83740303.13
344,83479010.42
345,83220833.98
346,82965794.71
347,82713918.01
348,82465231.93
349,82219763.52
350,81977538.75
351,81738582.6
352,81502919.07
353,81270571.45
354,81041567.05
355,80815937.23
356,80593712.47
357,80374922.1
358,80159594.3
359,79947756.24
360,79739434.1
361,79534657.28
362,79333460.73
363,79135878.69
364,78941944.11
365,78751688.65
366,78565142.76
367,78382335.71
368,78203298.93
369,78028070.66
370,77856688.9
371,77689190.08
372,77525609.15
373,77365979.57
374,77210333.38
375,77058703.59
376,76911130.87
377,76767656.4
378,76628319.47
379,76493157.52
380,76362206.2
381,76235499.41
382,76113071.82
383,75994966.17
384,75881225.45
385,75771890.35
386,75666999.25
387,75566588.32
388,75470691.49
389,75379343.28
390,75292586.46
391,75210463.69
392,75133014.79
393,75060276.73
394,74992283.71
395,74929067.18
396,74870658.7
397,74817098.25
398,74768425.15
399,74724675.22
400,74685880.79
401,74652070.73
402,74623270.54
403,74599505.29
404,74580808.33
405,74567211.75
406,74558743.36
407,74555426.71
408,74557281.16
409,74564321.91
410,74576563.13
411,74594026.9
412,74616733.32
413,74644697.35
414,74677928.86
415,74716432.73
416,74760208.85
417,74809255.35
418,74863577.73
419,74923178.7
420,74988054.97
421,75058197.31
422,75133590.67
423,75214214.22
424,75300043.62
425,75391061.09
426,75487246.48
427,75588572.84
428,75695006.49
429,75806507.23
430,75923028.36
431,76044518
432,76170929.17
433,76302213.82
434,76438316.52
435,76579174.57
436,76724718.2
437,76874870.71
438,77029549.15
439,77188673.31
440,77352163.48
441,77519932.39
442,77691885.37
443,77867920.53
444,78047928.98
445,78231795.29
446,78419404.61
447,78610644.15
448,78805394.18
449,79003527.9
450,79204911.72
451,79409405.63
452,79616863.49
453,79827138.27
454,80040086.4
455,80255558.87
456,80473400.63
457,80693451.06
458,80915544.34
459,81139509.89
460,81365175.8
461,81592374.82
462,81820936.76
463,82050687.26
464,82281448.35
465,82513039.02
466,82745275.7
467,82977974.73
468,83210958.31
469,83444048.51
470,83677066.03
471,83909830.78
472,84142162.57
473,84373881.7
474,84604811.09
475,84834781.05
476,85063624.84
477,85291177.86
478,85517278.34
479,85741768.09
480,85964493.15
481,86185305.55
482,86404066.8
483,86620645.04
484,86834914.67
485,87046757.2
486,87256061.94
487,87462726.75
488,87666659.33
489,87867779.39
490,88066017.39
491,88261314.78
492,88453624.75
493,88642913.01
494,88829158.59
495,89012354.66
496,89192509.36
497,89369646.22
498,89543804.93
499,89715014.68
500,89883208.02
501,90048295.47
502,90210191.84
503,90368815.36
504,90524089.29
505,90675937.96
506,90824271.7
507,90969000.74
508,91110040.3
509,91247310.29
510,91380733.04
511,91510236.33
512,91635749.75
513,91757189.05
514,91874470.48
515,91987516.05
516,92096253.2
517,92200611.2
518,92300524.42
519,92395930.38
520,92486753.18
521,92572917.25
522,92654353.44
523,92730998.88
524,92802792.46
525,92869677.25
526,92931602.06
527,92988503.86
528,93040317.58
529,93086985.06
530,93128455.24
531,93164679.3
532,93195611.38
533,93221213.04
534,93241436.75
535,93256230.14
536,93265548.03
537,93269352.83
538,93267610.29
539,93260287.73
540,93247360.72
541,93228799.23
542,93204565.61
543,93174629.19
544,93138967.24
545,93097561.65
546,93050394.69
547,92997456.91
548,92938737
549,92874213.71
550,92803872.06
551,92727705.08
552,92645711.63
553,92557890.3
554,92464247.18
555,92364790
556,92259515.27
557,92148424.29
558,92031526.35
559,91908836.58
560,91780369.66
561,91646147.48
562,91506196.38
563,91360531.44
564,91209170.51
565,91052139.12
566,90889468.38
567,90721188.86
568,90547337.95
569,90367957.32
570,90183078.03
571,89992733.72
572,89796965.26
573,89595818.68
574,89389339.28
575,89177578.61
576,88960592.26
577,88738425.93
578,88511127.68
579,88278752.16
580,88041358.58
581,87799005.13
582,87551755.56
583,87299677.22
584,87042828.57
585,86781270.1
586,86515068.07
587,86244292.65
588,85969012.53
589,85689301.08
590,85405234.84
591,85116882.63
